"target_id","sex","recording","n_points","duration_s","mean_speed_ms","mean_height_cm","path_length_m"
500060,"Male","180727_mal-col_d05",173,0.859999999999985,0.472233626664915,3.4849710982659,0.417395524281647
500061,"Male","180727_mal-col_d05",853,4.26000000000002,0.297687013194327,-31.8706916764361,1.36355077494858
500062,"Male","180727_mal-col_d05",941,4.69999999999999,0.46792672793003,-31.2907615480649,1.92763616830344
500063,"Male","180727_mal-col_d05",497,2.47999999999999,0.409031177236173,-9.10859538784065,1.01136131417205
500064,"Male","180727_mal-col_d05",157,0.78000000000003,0.267991770722148,-44.7668789808917,0.227822063325511
500065,"Male","180727_mal-col_d05",609,3.04000000000002,0.401110961027488,-40.4812807881773,1.27166606658182
500066,"Male","180727_mal-col_d05",933,4.66000000000003,0.310194512360948,-39.7722400857449,1.54964206088678
500067,"Male","180727_mal-col_d05",605,3.02000000000004,0.317476266317285,-38.5778512396694,1.01484564017453
500068,"Male","180727_mal-col_d05",1393,6.96000000000004,0.329364011775983,-39.4296268088347,2.29735205938445
500069,"Male","180727_mal-col_d05",149,0.740000000000009,0.00223606797749979,-47.9315436241611,0.003
500070,"Male","180727_mal-col_d05",689,3.44,0.300478050809037,-40.1256894049347,1.11126748908028
600001,"Male","180727_mal-col_d05",4529,22.64,0.410158046564448,12.3867299624641,9.65223871118209
600002,"Male","180727_mal-col_d05",169,0.840000000000001,0,-47.8,0
600003,"Male","180727_mal-col_d05",489,2.44,0.489988577530198,17.8834355828221,1.23138167056204
600004,"Male","180727_mal-col_d05",39822,199.105,0.472908820054136,15.8245006289308,96.912618862257
600005,"Male","180727_mal-col_d05",20269,101.34,0.423933494919932,12.3467955991908,44.5898395287033
600006,"Male","180727_mal-col_d05",445,2.22,0.546312103241334,-24.8986516853933,1.23908846828353
600007,"Male","180727_mal-col_d05",173,0.859999999999999,0.649501853143598,59.7595375722543,0.56521568662038
600008,"Male","180727_mal-col_d05",193,0.960000000000008,0.470418335050397,-12.0725388601036,0.468025196432669
600009,"Male","180727_mal-col_d05",85,0.420000000000002,0.258012337526508,14.7858823529412,0.1187099178297
600010,"Male","180727_mal-col_d05",149,0.740000000000009,0.347446213980628,3.7241610738255,0.274620574975547
600011,"Male","180727_mal-col_d05",21649,108.24,0.460088145827052,12.0938765111865,51.238927708181
600012,"Male","180727_mal-col_d05",3741,18.7,0.274654385596565,-10.349901602474,5.31034866888351
600013,"Male","180727_mal-col_d05",53,0.259999999999991,0.404774821898474,74.1075471698113,0.110260341147325
600014,"Male","180727_mal-col_d05",189,0.939999999999998,0.288744775586734,-13.5693121693122,0.291975412694105
600015,"Male","180727_mal-col_d05",505,2.51999999999998,0.365370200726557,-12.6160396039604,0.9679390371875
600016,"Male","180727_mal-col_d05",101,0.5,0.350087140735653,25.3039603960396,0.184375971940384
