id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.413601,16.729662,-37.77575,132.57077,2.2392304,0.32053208,21.701271,0.32053208
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.423601,16.755257,-37.657364,132.2671,1.8750755,0.32692483,0.6392745,0.32692483
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.443601,16.819427,-37.52154,131.93858,2.0497653,0.18062244,-7.315119,0.3612449
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.453601,16.920568,-37.380245,131.60823,2.1102798,0.3732555,19.263306,0.3732555
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.463601,17.053999,-37.23458,131.27486,2.6707401,0.38750336,1.4247863,0.38750336
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.483601,17.22678,-37.071358,130.91512,3.0479624,0.2155873,-8.595803,0.4311746
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.493601,17.43159,-36.904137,130.54611,2.0458694,0.45395604,23.836876,0.45395604
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.523602,17.688877,-36.7206,130.16338,1.8191382,0.16544469,-9.616725,0.4963506
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.533602,17.975697,-36.52931,129.75957,2.090285,0.5309639,36.551918,0.5309639
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.543602,18.269714,-36.346657,129.36662,2.1793597,0.5236617,-0.73022044,0.5236617
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.553602,18.568972,-36.169292,128.98566,2.2133,0.51589155,-0.7770142,0.51589155
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.563602,18.874874,-35.993607,128.6138,1.5861571,0.5125555,-0.3336024,0.5125555
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.573602,19.176172,-35.829536,128.26376,1.5390238,0.49012873,-2.2426784,0.49012873
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.583602,19.475183,-35.66806,127.91616,1.2412337,0.48612052,-0.40082023,0.48612052
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.593602,19.7733,-35.50968,127.57399,1.1129333,0.48066258,-0.54579455,0.48066258
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.603602,20.060604,-35.371655,127.24774,1.437288,0.45610622,-2.4556358,0.45610622
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.623602,20.3503,-35.23253,126.9071,1.2109321,0.23415686,-11.097467,0.46831372
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.643602,20.615183,-35.106945,126.546875,1.2909822,0.2322157,-0.09705807,0.4644314
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.653602,20.864384,-34.988136,126.17999,0.88764876,0.4591477,22.693197,0.4591477
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.663602,21.09988,-34.8739,125.81589,0.86161447,0.44842395,-1.0723718,0.44842395
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.673602,21.325352,-34.771023,125.453354,0.78403866,0.43914926,-0.92747045,0.43914926
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.683602,21.535805,-34.665215,125.07858,0.9595739,0.4426532,0.35039604,0.4426532
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.693602,21.73058,-34.55931,124.69491,0.9461079,0.4431228,0.046959456,0.4431228
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.703602,21.913849,-34.473938,124.379395,0.843237,0.37472877,-6.839405,0.37472877
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.713602,22.08112,-34.372307,124.01611,0.98117435,0.41265434,3.7925584,0.41265434
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.723602,22.219036,-34.247826,123.59164,1.1288223,0.46335536,5.070102,0.46335536
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.733602,22.341516,-34.127163,123.19739,1.2225732,0.43010473,-3.325064,0.43010473
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.763602,22.427414,-33.978146,122.71441,1.0068961,0.17089851,-8.640207,0.51269555
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.773602,22.525867,-33.836212,122.27852,1.1884768,0.46886796,29.796946,0.46886796
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.783603,22.62153,-33.700535,121.84785,0.8757433,0.46151224,-0.73550004,0.46155837
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.793603,22.71296,-33.56245,121.41329,0.99902,0.46504357,0.35313487,0.46504357
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.803603,22.798635,-33.4253,120.97209,1.0643282,0.46990684,0.48632687,0.46990684
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.813603,22.879425,-33.28744,120.53279,1.2242013,0.4674559,-0.24509446,0.4674559
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.823603,22.951103,-33.129345,120.01637,1.1565356,0.54481184,7.7355933,0.54481184
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.833603,23.016434,-32.985367,119.54088,1.4108173,0.5010933,-4.3718486,0.5010933
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.843603,23.089266,-32.859875,119.12445,1.6575727,0.44097915,-6.011418,0.44097915
