id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.404842,19.720173,26.539888,198.90607,22.084843,1.0405209,4.4205127,1.0405209
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.414842,19.24581,27.482038,199.19035,24.408226,1.0924698,5.194899,1.0924698
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.424842,18.734697,28.462753,199.41565,24.89192,1.1286225,3.6152625,1.1286225
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.434842,18.200563,29.481926,199.56987,24.518898,1.1609482,3.232573,1.1609482
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.444842,17.649544,30.529427,199.62044,22.564398,1.1846673,2.3719196,1.1846673
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.454842,17.088408,31.60006,199.60004,23.130867,1.2089443,2.427687,1.2089443
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.464842,16.507755,32.690628,199.53021,22.75947,1.2374876,2.8543224,1.2374876
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.474842,15.839695,33.802933,199.10596,23.739204,1.3651035,12.761604,1.3651035
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.484843,15.172359,35.03647,199.21344,23.29303,1.4064527,4.1344934,1.4065932
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.494843,14.460016,36.190125,199.1583,22.36914,1.35698,-4.947266,1.35698
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.504843,13.688302,37.356934,199.07747,22.815956,1.4012547,4.4274654,1.4012547
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.514843,12.8468485,38.52237,198.94766,22.39383,1.4433081,4.2053566,1.4433081
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.524843,11.932452,39.68974,198.82663,23.092035,1.4877918,4.448358,1.4877918
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.534843,10.935971,40.846138,198.69727,23.520584,1.5319797,4.4187875,1.5319797
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.544843,9.856184,41.989975,198.61824,21.6394,1.5749776,4.299797,1.5749776
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.554843,8.689199,43.11447,198.57098,21.082766,1.6212902,4.6312613,1.6212902
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.574843,7.3644023,44.31935,198.56706,18.832926,0.895382,-36.29541,1.790764
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.584843,6.0624986,45.454872,198.57776,18.83292,1.7275625,83.218056,1.7275625
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.594843,4.619129,46.609547,198.62788,19.452621,1.8490812,12.151864,1.8490812
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.604843,3.056094,47.726017,198.70755,20.67448,1.9224808,7.3399673,1.9224808
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.614843,1.414801,48.791656,198.80713,22.348871,1.9594256,3.694476,1.9594256
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.624843,-0.27233863,49.803047,198.92844,22.39189,1.9708015,1.1375942,1.9708015
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.634843,-1.9773855,50.7468,199.0346,22.578424,1.9516994,-1.91022,1.9516994
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.644843,-3.6726427,51.628532,199.17459,22.222704,1.915971,-3.5728254,1.915971
